"Customer #","Name","Address","City","State","Zip","Sales Rep","Account Type"
"1655","Clouds Smoke Shop","undefined","St. Peters","MO","undefined","Joe Simmons","Wholesale"
"473","Cloudz Smoke shop","undefined","San Jose","CA","undefined","Ben Wallner","Wholesale"
"748","Clown Glass","undefined","Minneapolis","MN","undefined","Jared","Wholesale"
"692","coastal distributions","undefined","charleston","SC","undefined","Sergio","Distributor"
"1085","Cold Smoke","undefined","Billings","Montana","undefined","Brandon Good","Retail"
"255","Colorado Herbal Imports | Eroy","undefined","Littleton","CO","undefined","Brandon Good","Wholesale"
"291","Colorful Vibes/Brett Gromowski","undefined","Rolla","Missouri","undefined","Jared","Wholesale"
"1791","Common Sense","undefined","Sioux Falls","South Dakota","undefined","Brandon Good","Retail"
"1080","Common Sense & Herb N Legend","undefined","Sioux Falls","SD","undefined","Brandon Good","Wholesale"
"310","Compass Eudaemonia","undefined","Nampa","ID","undefined","Sergio","Wholesale"
"1172","Connoisseur Smoke Shop","undefined","Austin","TX","undefined","Jared Leuzinger","Wholesale"
"1887","Continental Smoke Shop","undefined","Forest Hills","New York","undefined","Derek Whitworth","Wholesale"
"1522","Coon Rapids Tobacco Inc","undefined","Coon Rapids","Minnesota","undefined","Joe Simmons","Wholesale"
"1753","CORK & BREW MARKET","undefined","AUSTIN","Texas","undefined","Jared Leuzinger","Wholesale"
"935","Corner Market","undefined","Nashville","TN","undefined","Jared","Wholesale"
"1542","CORNING SMOKE SHOP","undefined","CORNING","CA","undefined","Ben Wallner","Wholesale"
"957","Cortlandt Smoke and Vape","undefined","Montrose","NY","undefined","Derek Whitworth","Wholesale"
"186","Covalent CBD","undefined","Las Vegas","NV","undefined","Jared Leuzinger","Wholesale"
"1683","Crazy B's Smoke Shop Ridgway | CO","undefined","Ridgway","CO","undefined","Brandon Good","Wholesale"
"48","Creating Better Days","undefined","Plantation","FL","undefined","tthomas","Wholesale"
"1404","Crowfield Tobacco and Vape LLC","undefined","Ladson","SC","undefined","Sergio","Wholesale"
"1329","CS/Dk","undefined","Gulfport","MS","undefined","Jared Leuzinger","Wholesale"
"872","Css Wholesale","undefined","Hartford","IL","undefined","Brandon Good","Distributor"
"611","CWL Brands LLC","undefined","BOISE","Idaho","undefined","ShipStation","Retail"
"1838","D&A Distribution LLC","undefined","Savannah","Georgia","undefined","Zalak","Retail"
