Issued date,Account ID,Bill_to_name,Billing Address,Bill_to_city,Billing State,Bill_to_zip,Customer Name,Default_salesman,Product_id,Product,Sales order Number,So_status,Sales person,So c1,So_c2,So_c3,So_c4,So_c5,So_c6,Sales Order ID,Soitem_id,Soitem_product_number,Customer ID,Product_description,Sales Order Item Description,Soitem_type,BOL,Carrier_name,Company_id,Company_name,Ship_status,Sales_order_number,Status ID,Salesmaninitials,Fulfilled Quantity,Last_unitprice,So_ct,Unitprice,Total price,Total cost,Sales Order Line Item
01-05-2026,985,SMOKE RINGS GREENSBORO-GB2 (NC),2511 Battleground Ave Unit C,Greensboro,North Carolina,27408,SMOKE RINGS GREENSBORO-GB2 (NC),,207,KB-3000,10097,Fulfilled,admin,,,,,,,25191,"76,279",KB-3000,821,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229371,UPS,1,CWL Brands,Shipped,10097,30,ADM,10.00,$60.0000,2.00,$55.80,$558.00,$52.45,2.00
01-05-2026,985,SMOKE RINGS GREENSBORO-GB2 (NC),2511 Battleground Ave Unit C,Greensboro,North Carolina,27408,SMOKE RINGS GREENSBORO-GB2 (NC),,11,Shipping,10097,Fulfilled,admin,,,,,,,25191,"76,286",Shipping,821,Shipping,Shipping Tracking: 1Z90V7160336307966,Shipping,229371,UPS,1,CWL Brands,Shipped,10097,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,991,WILD SIDE KALAMAZOO-KZ (MI),2909 Howard St,Kalamazoo,Michigan,49006,WILD SIDE KALAMAZOO-KZ (MI),,207,KB-3000,10087,Fulfilled,admin,,,,,,,25181,"76,246",KB-3000,827,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229265,UPS,1,CWL Brands,Shipped,10087,30,ADM,8.00,$60.0000,2.00,$55.80,$446.40,$41.96,2.00
01-05-2026,991,WILD SIDE KALAMAZOO-KZ (MI),2909 Howard St,Kalamazoo,Michigan,49006,WILD SIDE KALAMAZOO-KZ (MI),,11,Shipping,10087,Fulfilled,admin,,,,,,,25181,"76,256",Shipping,827,Shipping,Shipping Tracking: 1Z90V7160311085994,Shipping,229265,UPS,1,CWL Brands,Shipped,10087,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,977,WILD SIDE LANSING-LS (MI),6527 S Cedar St. Suite A,Lansing,Michigan,48911,WILD SIDE LANSING-LS (MI),,207,KB-3000,10103,Fulfilled,admin,,,,,,,25198,"76,301",KB-3000,813,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229456,UPS,1,CWL Brands,Shipped,10103,30,ADM,8.00,$60.0000,2.00,$55.80,$446.40,$41.96,2.00
01-05-2026,977,WILD SIDE LANSING-LS (MI),6527 S Cedar St. Suite A,Lansing,Michigan,48911,WILD SIDE LANSING-LS (MI),,193,KB-3001,10103,Fulfilled,admin,,,,,,,25198,"76,302",KB-3001,813,Release + Relax 12pk,Release + Relax 12pk,Sale,229456,UPS,1,CWL Brands,Shipped,10103,30,ADM,4.00,$60.0000,2.00,$55.80,$223.20,$66.00,4.00
01-05-2026,977,WILD SIDE LANSING-LS (MI),6527 S Cedar St. Suite A,Lansing,Michigan,48911,WILD SIDE LANSING-LS (MI),,11,Shipping,10103,Fulfilled,admin,,,,,,,25198,"76,331",Shipping,813,Shipping,Shipping Tracking: 1Z90V7160313666095,Shipping,229456,UPS,1,CWL Brands,Shipped,10103,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,6.00
01-05-2026,863,WILD SIDE MANCHESTER-MC1 (NH),1350 Elm St,Manchester,New Hampshire,3101,WILD SIDE MANCHESTER-MC1 (NH),,206,KB-4000,10110,Fulfilled,admin,,,,,,,25205,"76,311",KB-4000,701,Focus MC12,Focus MC12,Sale,229494,UPS,1,CWL Brands,Shipped,10110,30,ADM,2.00,$576.0000,2.00,$669.60,"$1,339.20",$433.67,2.00
01-05-2026,863,WILD SIDE MANCHESTER-MC1 (NH),1350 Elm St,Manchester,New Hampshire,3101,WILD SIDE MANCHESTER-MC1 (NH),,11,Shipping,10110,Fulfilled,admin,,,,,,,25205,"76,340",Shipping,701,Shipping,Shipping Tracking: 1Z90V7160314663756,Shipping,229494,UPS,1,CWL Brands,Shipped,10110,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,1418,Viable Alternatives - Nampa,203 Caldwell Blvd,Nampa,Idaho,83651,Viable Alternatives - Nampa,,206,KB-4000,10102,Fulfilled,admin,,,,,,,25197,"76,299",KB-4000,1205,Focus MC12,Focus MC12,Sale,229449,Will Call,1,CWL Brands,Shipped,10102,30,ADM,3.00,$576.0000,1.00,$684.00,"$2,052.00",$669.45,1.00
01-05-2026,1418,Viable Alternatives - Nampa,203 Caldwell Blvd,Nampa,Idaho,83651,Viable Alternatives - Nampa,,11,Shipping,10102,Fulfilled,admin,,,,,,,25197,"76,676",Shipping,1205,Shipping,Shipping Tracking: WILL CALL,Shipping,229449,Will Call,1,CWL Brands,Shipped,10102,30,ADM,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,2.00
01-05-2026,450,Canal Smoke,342 Canal St,New York,New York,10013,Canal Smoke Shop,,206,KB-4000,10089,Fulfilled,DerekW,,,,,,,25185,"76,263",KB-4000,293,Focus MC12,Focus MC12,Sale,229319,UPS,1,CWL Brands,Shipped,10089,30,DW,1.00,$576.0000,1.00,$720.00,$720.00,$222.45,1.00
01-05-2026,450,Canal Smoke,342 Canal St,New York,New York,10013,Canal Smoke Shop,,11,Shipping,10089,Fulfilled,DerekW,,,,,,,25185,"76,264",Shipping,293,Shipping,Shipping,Shipping,229319,UPS,1,CWL Brands,Shipped,10089,30,DW,1.00,$0.0000,1.00,$25.00,$25.00,$0.05,2.00
01-05-2026,450,Canal Smoke,342 Canal St,New York,New York,10013,Canal Smoke Shop,,11,Shipping,10089,Fulfilled,DerekW,,,,,,,25185,"76,269",Shipping,293,Shipping,Shipping Tracking: 1Z90V7160302287426,Shipping,229319,UPS,1,CWL Brands,Shipped,10089,30,DW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-05-2026,864,WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,WILD SIDE PORTLAND-PT (ME),,196,KB-3002,10085,Fulfilled,admin,,,,,,,25179,"76,242",KB-3002,702,Zoom 12PK,Zoom 12PK,Sale,229272,UPS,1,CWL Brands,Shipped,10085,30,ADM,4.00,$42.0000,2.00,$42.00,$168.00,$64.92,2.00
01-05-2026,864,WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,WILD SIDE PORTLAND-PT (ME),,206,KB-4000,10085,Fulfilled,admin,,,,,,,25179,"76,243",KB-4000,702,Focus MC12,Focus MC12,Sale,229272,UPS,1,CWL Brands,Shipped,10085,30,ADM,2.00,$576.0000,2.00,$669.60,"$1,339.20",$444.89,4.00
01-05-2026,864,WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,WILD SIDE PORTLAND-PT (ME),,207,KB-3000,10085,Fulfilled,admin,,,,,,,25179,"76,244",KB-3000,702,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229272,UPS,1,CWL Brands,Shipped,10085,30,ADM,6.00,$60.0000,2.00,$55.80,$334.80,$31.47,6.00
01-05-2026,864,WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,WILD SIDE PORTLAND-PT (ME),,11,Shipping,10085,Fulfilled,admin,,,,,,,25179,"76,250",Shipping,702,Shipping,Shipping Tracking: 1Z90V7160322321494,Shipping,229272,UPS,1,CWL Brands,Shipped,10085,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,8.00
01-05-2026,1966,White Cloud- Post Falls,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,White Cloud- Post Falls,Jared Leuzinger,206,KB-4000,10092,Fulfilled,Jared,,,,,,,25187,"76,270",KB-4000,1697,Focus MC12,Focus MC12,Sale,229333,UPS,1,CWL Brands,Shipped,10092,30,JL,30.00,$576.0000,1.00,$612.00,"$18,360.00","$6,591.95",1.00
01-05-2026,1966,White Cloud- Post Falls,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,White Cloud- Post Falls,Jared Leuzinger,11,Shipping,10092,Fulfilled,Jared,,,,,,,25187,"76,271",Shipping,1697,Shipping,Shipping,Shipping,229333,UPS,1,CWL Brands,Shipped,10092,30,JL,1.00,$0.0000,1.00,$228.00,$228.00,$0.05,2.00
